"cd_mun","nm_mun","UF","temperature","year_month"
"1500107","Abaetetuba","PA",32.2936086654663,"2021-12"
"1500800","Ananindeua","PA",32.4564437866211,"2021-12"
"1501105","Bagre","PA",32.9882422054515,"2021-12"
"1501204","Baião","PA",32.6434240341187,"2021-12"
"1501303","Barcarena","PA",32.069863319397,"2021-12"
"1501402","Belém","PA",32.099739074707,"2021-12"
"1501501","Benevides","PA",32.6778945922852,"2021-12"
"1501782","Breu Branco","PA",33.0722626194809,"2021-12"
"1502103","Cametá","PA",32.0570685863495,"2021-12"
"1503093","Goianésia do Pará","PA",32.901041359737,"2021-12"
"1503309","Igarapé-Miri","PA",32.2864856719971,"2021-12"
"1503804","Jacundá","PA",31.7687824249268,"2021-12"
"1504000","Limoeiro do Ajuru","PA",31.860418510437,"2021-12"
"1504422","Marituba","PA",32.5856857299805,"2021-12"
"1504604","Mocajuba","PA",32.4170265197754,"2021-12"
"1504703","Moju","PA",33.2444914696922,"2021-12"
"1505064","Novo Repartimento","PA",31.7147298828373,"2021-12"
"1505205","Oeiras do Pará","PA",32.7703835623605,"2021-12"
"1506351","Santa Bárbara do Pará","PA",32.4977645874023,"2021-12"
"1507953","Tailândia","PA",33.411765127471,"2021-12"
"1508100","Tucuruí","PA",32.3087117936876,"2021-12"
"1500107","Abaetetuba","PA",32.5795455932617,"2021-11"
"1500800","Ananindeua","PA",32.1241588592529,"2021-11"
"1501105","Bagre","PA",33.325798034668,"2021-11"
"1501204","Baião","PA",32.568736076355,"2021-11"
"1501303","Barcarena","PA",32.2421652475993,"2021-11"
"1501402","Belém","PA",31.1099185943604,"2021-11"
"1501501","Benevides","PA",32.5091018676758,"2021-11"
"1501782","Breu Branco","PA",32.5687116565126,"2021-11"
"1502103","Cametá","PA",32.7024269104004,"2021-11"
"1503093","Goianésia do Pará","PA",32.5352989394089,"2021-11"
"1503309","Igarapé-Miri","PA",32.9072982788086,"2021-11"
"1503804","Jacundá","PA",31.734336344401,"2021-11"
"1504000","Limoeiro do Ajuru","PA",32.4044052124023,"2021-11"
"1504422","Marituba","PA",32.4114532470703,"2021-11"
"1504604","Mocajuba","PA",32.9543113708496,"2021-11"
"1504703","Moju","PA",33.4281071407694,"2021-11"
"1505064","Novo Repartimento","PA",32.123668096899,"2021-11"
"1505205","Oeiras do Pará","PA",33.1162327357701,"2021-11"
"1506351","Santa Bárbara do Pará","PA",31.7279148101807,"2021-11"
"1507953","Tailândia","PA",34.1545380101059,"2021-11"
"1508100","Tucuruí","PA",31.8163492414686,"2021-11"
"1500107","Abaetetuba","PA",32.8777572631836,"2021-10"
"1500800","Ananindeua","PA",32.7686386108398,"2021-10"
"1501105","Bagre","PA",34.8888105504653,"2021-10"
"1501204","Baião","PA",34.4499311447144,"2021-10"
"1501303","Barcarena","PA",32.8450393676758,"2021-10"
"1501402","Belém","PA",31.9634943008423,"2021-10"
"1501501","Benevides","PA",33.0894088745117,"2021-10"
"1501782","Breu Branco","PA",34.9155816742868,"2021-10"
"1502103","Cametá","PA",34.0201301574707,"2021-10"
"1503093","Goianésia do Pará","PA",35.1013638726596,"2021-10"
"1503309","Igarapé-Miri","PA",33.541384379069,"2021-10"
"1503804","Jacundá","PA",34.2938725789388,"2021-10"
