"cd_mun","cases","year_month"
"150010",0,"2021-12"
"150080",0.19,"2021-12"
"150110",0,"2021-12"
"150120",0,"2021-12"
"150130",0,"2021-12"
"150140",0.2,"2021-12"
"150150",0,"2021-12"
"150178",0,"2021-12"
"150210",0,"2021-12"
"150309",2.4,"2021-12"
"150330",9.47,"2021-12"
"150380",0,"2021-12"
"150400",0,"2021-12"
"150442",0,"2021-12"
"150460",0,"2021-12"
"150470",0,"2021-12"
"150506",0,"2021-12"
"150520",0,"2021-12"
"150635",0,"2021-12"
"150795",0,"2021-12"
"150810",0.86,"2021-12"
"150010",0,"2021-11"
"150080",0,"2021-11"
"150110",0,"2021-11"
"150120",0,"2021-11"
"150130",0,"2021-11"
"150140",1.26,"2021-11"
"150150",0,"2021-11"
"150178",0,"2021-11"
"150210",0.71,"2021-11"
"150309",0,"2021-11"
"150330",11.05,"2021-11"
"150380",0,"2021-11"
"150400",0,"2021-11"
"150442",0,"2021-11"
"150460",0,"2021-11"
"150470",0,"2021-11"
"150506",0,"2021-11"
"150520",0,"2021-11"
"150635",0,"2021-11"
"150795",0,"2021-11"
"150810",0,"2021-11"
"150010",0,"2021-10"
"150080",0.56,"2021-10"
"150110",0,"2021-10"
"150120",0,"2021-10"
"150130",0,"2021-10"
"150140",1.53,"2021-10"
"150150",0,"2021-10"
"150178",0,"2021-10"
"150210",0,"2021-10"
"150309",0,"2021-10"
"150330",15.78,"2021-10"
"150380",0,"2021-10"
"150400",0,"2021-10"
"150442",0,"2021-10"
"150460",0,"2021-10"
"150470",0,"2021-10"
"150506",0,"2021-10"
"150520",0,"2021-10"
"150635",0,"2021-10"
"150795",0,"2021-10"
"150810",0,"2021-10"
"150010",0,"2021-09"
"150080",0,"2021-09"
"150110",0,"2021-09"
"150120",0,"2021-09"
"150130",0.77,"2021-09"
"150140",1.19,"2021-09"
"150150",0,"2021-09"
"150178",0,"2021-09"
"150210",0,"2021-09"
"150309",0,"2021-09"
"150330",6.31,"2021-09"
"150380",0,"2021-09"
"150400",0,"2021-09"
"150442",0,"2021-09"
"150460",3.13,"2021-09"
"150470",0,"2021-09"
"150506",1.27,"2021-09"
"150520",0,"2021-09"
"150635",0,"2021-09"
"150795",0,"2021-09"
"150810",0,"2021-09"
"150010",0,"2021-08"
"150080",0,"2021-08"
"150110",0,"2021-08"
"150120",0,"2021-08"
"150130",0,"2021-08"
"150140",2.32,"2021-08"
"150150",0,"2021-08"
"150178",0,"2021-08"
"150210",0,"2021-08"
"150309",0,"2021-08"
"150330",1.58,"2021-08"
"150380",0,"2021-08"
"150400",0,"2021-08"
"150442",0,"2021-08"
"150460",0,"2021-08"
"150470",0,"2021-08"
"150506",0,"2021-08"
"150520",0,"2021-08"
"150635",0,"2021-08"
"150795",0,"2021-08"
"150810",0,"2021-08"
"150010",0,"2021-07"
"150080",0.19,"2021-07"
"150110",0,"2021-07"
"150120",0,"2021-07"
"150130",0.77,"2021-07"
"150140",3.52,"2021-07"
"150150",3.09,"2021-07"
"150178",0,"2021-07"
"150210",0,"2021-07"
"150309",0,"2021-07"
"150330",0,"2021-07"
"150380",0,"2021-07"
"150400",0,"2021-07"
"150442",0,"2021-07"
"150460",0,"2021-07"
"150470",0,"2021-07"
"150506",0,"2021-07"
"150520",0,"2021-07"
"150635",0,"2021-07"
"150795",0,"2021-07"
"150810",0,"2021-07"
"150010",1.87,"2021-06"
"150080",0.56,"2021-06"
"150110",0,"2021-06"
"150120",0,"2021-06"
"150130",0,"2021-06"
"150140",4.12,"2021-06"
"150150",0,"2021-06"
"150178",0,"2021-06"
"150210",0,"2021-06"
"150309",0,"2021-06"
"150330",0,"2021-06"
"150380",1.65,"2021-06"
"150400",0,"2021-06"
"150442",0.74,"2021-06"
"150460",0,"2021-06"
"150470",0,"2021-06"
"150506",3.82,"2021-06"
"150520",0,"2021-06"
"150635",0,"2021-06"
"150795",0.9,"2021-06"
