"cd_mun","date","dengue"
"150010","2019-12-31","0.0"
"150080","2019-12-31","0.0"
"150110","2019-12-31","0.0"
"150120","2019-12-31","0.0"
"150130","2019-12-31","0.0"
"150140","2019-12-31","0.0"
"150150","2019-12-31","0.0"
"150178","2019-12-31","0.0"
"150210","2019-12-31","0.0"
"150309","2019-12-31","0.0"
"150330","2019-12-31","0.0"
"150380","2019-12-31","0.0"
"150400","2019-12-31","0.0"
"150442","2019-12-31","0.0"
"150460","2019-12-31","0.0"
"150470","2019-12-31","0.0"
"150506","2019-12-31","0.0"
"150520","2019-12-31","0.0"
"150635","2019-12-31","0.0"
"150795","2019-12-31","0.0"
"150810","2019-12-31","0.0"
"150010","2019-12-24","0.0"
"150080","2019-12-24","0.0"
"150110","2019-12-24","0.0"
"150120","2019-12-24","0.0"
"150130","2019-12-24","0.0"
"150140","2019-12-24","0.4"
"150150","2019-12-24","0.0"
"150178","2019-12-24","0.0"
"150210","2019-12-24","0.0"
"150309","2019-12-24","0.0"
"150330","2019-12-24","0.0"
"150380","2019-12-24","0.0"
"150400","2019-12-24","0.0"
"150442","2019-12-24","0.0"
"150460","2019-12-24","0.0"
"150470","2019-12-24","0.0"
"150506","2019-12-24","0.0"
"150520","2019-12-24","0.0"
"150635","2019-12-24","0.0"
"150795","2019-12-24","0.0"
"150810","2019-12-24","0.0"
"150010","2019-12-17","0.0"
"150080","2019-12-17","0.0"
"150110","2019-12-17","0.0"
"150120","2019-12-17","0.0"
"150130","2019-12-17","0.0"
"150140","2019-12-17","0.27"
"150150","2019-12-17","0.0"
"150178","2019-12-17","0.0"
"150210","2019-12-17","0.0"
"150309","2019-12-17","0.0"
"150330","2019-12-17","0.0"
"150380","2019-12-17","0.0"
"150400","2019-12-17","0.0"
"150442","2019-12-17","0.0"
"150460","2019-12-17","0.0"
"150470","2019-12-17","1.22"
"150506","2019-12-17","0.0"
"150520","2019-12-17","0.0"
"150635","2019-12-17","0.0"
"150795","2019-12-17","0.0"
"150810","2019-12-17","0.0"
"150010","2019-12-10","0.0"
"150080","2019-12-10","0.0"
"150110","2019-12-10","0.0"
"150120","2019-12-10","0.0"
"150130","2019-12-10","0.0"
"150140","2019-12-10","0.33"
"150150","2019-12-10","0.0"
"150178","2019-12-10","0.0"
"150210","2019-12-10","0.73"
"150309","2019-12-10","0.0"
"150330","2019-12-10","0.0"
"150380","2019-12-10","0.0"
"150400","2019-12-10","0.0"
"150442","2019-12-10","0.0"
"150460","2019-12-10","0.0"
"150470","2019-12-10","0.0"
"150506","2019-12-10","0.0"
"150520","2019-12-10","0.0"
"150635","2019-12-10","0.0"
"150795","2019-12-10","0.0"
"150810","2019-12-10","0.0"
"150010","2019-12-03","0.0"
"150080","2019-12-03","0.0"
"150110","2019-12-03","0.0"
"150120","2019-12-03","0.0"
"150130","2019-12-03","0.0"
"150140","2019-12-03","0.4"
"150150","2019-12-03","0.0"
"150178","2019-12-03","0.0"
"150210","2019-12-03","0.0"
"150309","2019-12-03","0.0"
"150330","2019-12-03","0.0"
"150380","2019-12-03","0.0"
"150400","2019-12-03","0.0"
"150442","2019-12-03","0.0"
"150460","2019-12-03","0.0"
"150470","2019-12-03","0.0"
"150506","2019-12-03","0.0"
"150520","2019-12-03","0.0"
"150635","2019-12-03","0.0"
"150795","2019-12-03","0.0"
"150810","2019-12-03","0.0"
"150010","2019-11-26","0.63"
"150080","2019-11-26","0.0"
