"cd_mun","nm_mun","UF","precipitation","year_month"
"1500107","Abaetetuba","PA",20.3365154266357,"2021-12"
"1500800","Ananindeua","PA",16.7839870452881,"2021-12"
"1501105","Bagre","PA",20.3169422149658,"2021-12"
"1501204","Baião","PA",63.8819046020508,"2021-12"
"1501303","Barcarena","PA",19.8765449523926,"2021-12"
"1501402","Belém","PA",16.5050678253174,"2021-12"
"1501501","Benevides","PA",13.5201616287231,"2021-12"
"1501782","Breu Branco","PA",103.336502075195,"2021-12"
"1502103","Cametá","PA",22.1763916015625,"2021-12"
"1503093","Goianésia do Pará","PA",119.132049560547,"2021-12"
"1503309","Igarapé-Miri","PA",24.4224128723145,"2021-12"
"1503804","Jacundá","PA",96.8235397338867,"2021-12"
"1504000","Limoeiro do Ajuru","PA",19.4948692321777,"2021-12"
"1504422","Marituba","PA",15.2523860931396,"2021-12"
"1504604","Mocajuba","PA",25.0879001617432,"2021-12"
"1504703","Moju","PA",68.1733169555664,"2021-12"
"1505064","Novo Repartimento","PA",98.0664367675781,"2021-12"
"1505205","Oeiras do Pará","PA",20.3707675933838,"2021-12"
"1506351","Santa Bárbara do Pará","PA",16.2750835418701,"2021-12"
"1507953","Tailândia","PA",63.8378715515137,"2021-12"
"1508100","Tucuruí","PA",89.3368072509766,"2021-12"
"1500107","Abaetetuba","PA",19.2266540527344,"2021-11"
"1500800","Ananindeua","PA",26.8129272460938,"2021-11"
"1501105","Bagre","PA",72.3750839233398,"2021-11"
"1501204","Baião","PA",48.7585029602051,"2021-11"
"1501303","Barcarena","PA",24.6402187347412,"2021-11"
"1501402","Belém","PA",22.6738567352295,"2021-11"
"1501501","Benevides","PA",27.1204242706299,"2021-11"
"1501782","Breu Branco","PA",39.4243507385254,"2021-11"
"1502103","Cametá","PA",43.2154655456543,"2021-11"
"1503093","Goianésia do Pará","PA",105.232749938965,"2021-11"
"1503309","Igarapé-Miri","PA",35.4835357666016,"2021-11"
"1503804","Jacundá","PA",59.3711967468262,"2021-11"
"1504000","Limoeiro do Ajuru","PA",30.0456943511963,"2021-11"
"1504422","Marituba","PA",27.1204242706299,"2021-11"
"1504604","Mocajuba","PA",46.3673095703125,"2021-11"
"1504703","Moju","PA",50.8138771057129,"2021-11"
"1505064","Novo Repartimento","PA",67.1193084716797,"2021-11"
"1505205","Oeiras do Pará","PA",76.4858245849609,"2021-11"
"1506351","Santa Bárbara do Pará","PA",23.8714771270752,"2021-11"
"1507953","Tailândia","PA",74.952392578125,"2021-11"
"1508100","Tucuruí","PA",44.4980506896973,"2021-11"
"1500107","Abaetetuba","PA",21.1865425109863,"2021-10"
"1500800","Ananindeua","PA",16.9571704864502,"2021-10"
