"cd_mun","nm_mun","UF","precipitation","year_month"
"1500107","Abaetetuba","PA",22.3274078369141,"2021-12"
"1500800","Ananindeua","PA",26.791353225708,"2021-12"
"1501105","Bagre","PA",32.9432106018066,"2021-12"
"1501204","Baião","PA",21.2239170074463,"2021-12"
"1501303","Barcarena","PA",20.2127056121826,"2021-12"
"1501402","Belém","PA",29.159818649292,"2021-12"
"1501501","Benevides","PA",21.0009136199951,"2021-12"
"1501782","Breu Branco","PA",26.1415615081787,"2021-12"
"1502103","Cametá","PA",24.1845016479492,"2021-12"
"1503093","Goianésia do Pará","PA",35.054069519043,"2021-12"
"1503309","Igarapé-Miri","PA",18.713191986084,"2021-12"
"1503804","Jacundá","PA",30.9592380523682,"2021-12"
"1504000","Limoeiro do Ajuru","PA",21.5430469512939,"2021-12"
"1504422","Marituba","PA",23.5193309783936,"2021-12"
"1504604","Mocajuba","PA",19.9858570098877,"2021-12"
"1504703","Moju","PA",20.6154327392578,"2021-12"
"1505064","Novo Repartimento","PA",41.0302429199219,"2021-12"
"1505205","Oeiras do Pará","PA",32.543342590332,"2021-12"
"1506351","Santa Bárbara do Pará","PA",25.2341632843018,"2021-12"
"1507953","Tailândia","PA",16.0294418334961,"2021-12"
"1508100","Tucuruí","PA",29.4635677337646,"2021-12"
"1500107","Abaetetuba","PA",6.00896072387695,"2021-12"
"1500800","Ananindeua","PA",4.92754364013672,"2021-12"
"1501105","Bagre","PA",15.6927814483643,"2021-12"
"1501204","Baião","PA",17.1216239929199,"2021-12"
"1501303","Barcarena","PA",4.9569034576416,"2021-12"
"1501402","Belém","PA",5.50005865097046,"2021-12"
"1501501","Benevides","PA",5.33368682861328,"2021-12"
"1501782","Breu Branco","PA",15.7221422195435,"2021-12"
"1502103","Cametá","PA",13.9409847259521,"2021-12"
"1503093","Goianésia do Pará","PA",29.134651184082,"2021-12"
"1503309","Igarapé-Miri","PA",6.83592700958252,"2021-12"
"1503804","Jacundá","PA",32.1831703186035,"2021-12"
"1504000","Limoeiro do Ajuru","PA",6.87996673583984,"2021-12"
"1504422","Marituba","PA",5.33368682861328,"2021-12"
"1504604","Mocajuba","PA",14.2247953414917,"2021-12"
"1504703","Moju","PA",14.8315629959106,"2021-12"
"1505064","Novo Repartimento","PA",26.9277782440186,"2021-12"
"1505205","Oeiras do Pará","PA",15.2572803497314,"2021-12"
"1506351","Santa Bárbara do Pará","PA",5.60281753540039,"2021-12"
"1507953","Tailândia","PA",6.2829852104187,"2021-12"
"1508100","Tucuruí","PA",16.7399463653564,"2021-12"
"1500107","Abaetetuba","PA",15.5459842681885,"2021-12"
"1500800","Ananindeua","PA",11.8026161193848,"2021-12"
"1501105","Bagre","PA",17.8017921447754,"2021-12"
"1501204","Baião","PA",47.3034362792969,"2021-12"
"1501303","Barcarena","PA",12.6149034500122,"2021-12"
"1501402","Belém","PA",9.65446281433105,"2021-12"
"1501501","Benevides","PA",9.27767944335938,"2021-12"
"1501782","Breu Branco","PA",68.9415740966797,"2021-12"
"1502103","Cametá","PA",22.1763916015625,"2021-12"
"1503093","Goianésia do Pará","PA",64.0482788085938,"2021-12"
"1503309","Igarapé-Miri","PA",24.4224128723145,"2021-12"
"1503804","Jacundá","PA",18.3204803466797,"2021-12"
"1504000","Limoeiro do Ajuru","PA",19.4948692321777,"2021-12"
"1504422","Marituba","PA",9.99699211120605,"2021-12"
"1504604","Mocajuba","PA",25.0879001617432,"2021-12"
"1504703","Moju","PA",68.1733169555664,"2021-12"
"1505064","Novo Repartimento","PA",43.0315971374512,"2021-12"
"1505205","Oeiras do Pará","PA",20.3707675933838,"2021-12"
"1506351","Santa Bárbara do Pará","PA",11.0539426803589,"2021-12"
