"cd_mun","nm_mun","UF","temperature","year_month"
"1500107","Abaetetuba","PA",30.4344150543213,"2019-03"
"1500800","Ananindeua","PA",30.2792301177979,"2019-03"
"1501105","Bagre","PA",31.2008061689489,"2019-03"
"1501204","Baião","PA",30.6135053038597,"2019-03"
"1501303","Barcarena","PA",30.0590305328369,"2019-03"
"1501402","Belém","PA",29.3632297515869,"2019-03"
"1501501","Benevides","PA",30.52463722229,"2019-03"
"1501782","Breu Branco","PA",30.5236195072983,"2019-03"
"1502103","Cametá","PA",31.0831050078074,"2019-03"
"1503093","Goianésia do Pará","PA",30.6213679149233,"2019-03"
"1503309","Igarapé-Miri","PA",31.0281314849854,"2019-03"
"1503804","Jacundá","PA",30.5015120188395,"2019-03"
"1504000","Limoeiro do Ajuru","PA",30.5060214996338,"2019-03"
"1504422","Marituba","PA",30.4807758331299,"2019-03"
"1504604","Mocajuba","PA",30.870813369751,"2019-03"
"1504703","Moju","PA",31.1148688893923,"2019-03"
"1505064","Novo Repartimento","PA",30.3228694946785,"2019-03"
"1505205","Oeiras do Pará","PA",31.1580164773124,"2019-03"
"1506351","Santa Bárbara do Pará","PA",29.9038791656494,"2019-03"
"1507953","Tailândia","PA",31.3662366000089,"2019-03"
"1508100","Tucuruí","PA",30.2475003136529,"2019-03"
"1500107","Abaetetuba","PA",30.8976230621338,"2019-02"
"1500800","Ananindeua","PA",31.0054569244385,"2019-02"
"1501105","Bagre","PA",31.8506560606115,"2019-02"
"1501204","Baião","PA",31.8062037825584,"2019-02"
"1501303","Barcarena","PA",30.9493503570557,"2019-02"
"1501402","Belém","PA",29.7588443756104,"2019-02"
"1501501","Benevides","PA",31.3870639801025,"2019-02"
"1501782","Breu Branco","PA",31.5966358762799,"2019-02"
"1502103","Cametá","PA",31.5809879302979,"2019-02"
"1503093","Goianésia do Pará","PA",31.6313599882455,"2019-02"
"1503309","Igarapé-Miri","PA",31.3026309967041,"2019-02"
"1503804","Jacundá","PA",31.7483353932699,"2019-02"
"1504000","Limoeiro do Ajuru","PA",30.8656253814697,"2019-02"
"1504422","Marituba","PA",31.3046283721924,"2019-02"
"1504604","Mocajuba","PA",31.9916391372681,"2019-02"
"1504703","Moju","PA",32.1873487553126,"2019-02"
"1505064","Novo Repartimento","PA",31.5112357410958,"2019-02"
"1505205","Oeiras do Pará","PA",31.8958786555699,"2019-02"
"1506351","Santa Bárbara do Pará","PA",30.5538120269775,"2019-02"
"1507953","Tailândia","PA",32.4741328846325,"2019-02"
"1508100","Tucuruí","PA",31.0634623633491,"2019-02"
"1500107","Abaetetuba","PA",31.6066284179688,"2019-01"
"1500800","Ananindeua","PA",31.4097537994385,"2019-01"
"1501105","Bagre","PA",31.6152439117432,"2019-01"
"1501204","Baião","PA",31.8864465355873,"2019-01"
"1501303","Barcarena","PA",31.4322195053101,"2019-01"
"1501402","Belém","PA",30.1899356842041,"2019-01"
"1501501","Benevides","PA",31.7930545806885,"2019-01"
"1501782","Breu Branco","PA",31.9326366655754,"2019-01"
"1502103","Cametá","PA",31.7106761137644,"2019-01"
"1503093","Goianésia do Pará","PA",32.3710028220867,"2019-01"
"1503309","Igarapé-Miri","PA",31.7959977467855,"2019-01"
"1503804","Jacundá","PA",31.6412722269694,"2019-01"
"1504000","Limoeiro do Ajuru","PA",31.2692050933838,"2019-01"
"1504422","Marituba","PA",31.6871662139893,"2019-01"
"1504604","Mocajuba","PA",31.9453291893005,"2019-01"
"1504703","Moju","PA",32.5124892382555,"2019-01"
"1505064","Novo Repartimento","PA",31.2339162283797,"2019-01"
"1505205","Oeiras do Pará","PA",31.7240597861154,"2019-01"
"1506351","Santa Bárbara do Pará","PA",31.0505924224854,"2019-01"
"1507953","Tailândia","PA",33.2552478674686,"2019-01"
"1508100","Tucuruí","PA",31.2202871110704,"2019-01"
